Image				Compared with		Change Score		Contours		Status
c23-1616769166090.png         c23-1616768823289.png         0.0                 0              Current Image removed
c23-1616769508852.png         c23-1616768823289.png         6705.0              2              Current Image Retained
c23-1616769851533.png         c23-1616769508852.png         3655.0              3              Current Image Retained
c23-1616770194060.png         c23-1616769851533.png         4564.0              4              Current Image Retained
c23-1616770536780.png         c23-1616770194060.png         7093.0              2              Current Image Retained
c23-1616770879381.png         c23-1616770536780.png         40156.5             1              Current Image Retained
c23-1616771222181.png         c23-1616770879381.png         61045.5             3              Current Image Retained
c23-1616771564780.png         c23-1616771222181.png         13730.5             3              Current Image Retained
c23-1616771907305.png         c23-1616771564780.png         25474.5             3              Current Image Retained
c23-1616772250108.png         c23-1616771907305.png         115498.0            2              Current Image Retained
c23-1616772592781.png         c23-1616772250108.png         132347.0            5              Current Image Retained
c23-1616772935306.png         c23-1616772592781.png         37937.0             4              Current Image Retained
c23-1616773277827.png         c23-1616772935306.png         41769.0             4              Current Image Retained
c23-1616773620435.png         c23-1616773277827.png         131793.5            4              Current Image Retained
c23-1616773963108.png         c23-1616773620435.png         133662.0            2              Current Image Retained
c23-1616774305712.png         c23-1616773963108.png         43614.5             2              Current Image Retained
c23-1616774648231.png         c23-1616774305712.png         46870.0             2              Current Image Retained
c23-1616774990917.png         c23-1616774648231.png         50987.0             2              Current Image Retained
c23-1616775333519.png         c23-1616774990917.png         57116.0             2              Current Image Retained
c23-1616775676360.png         c23-1616775333519.png         43608.5             3              Current Image Retained
c23-1616776018960.png         c23-1616775676360.png         32453.5             3              Current Image Retained
c23-1616776361764.png         c23-1616776018960.png         25845.0             2              Current Image Retained
c23-1616776704246.png         c23-1616776361764.png         29745.5             3              Current Image Retained
c23-1616777046932.png         c23-1616776704246.png         17900.5             5              Current Image Retained
c23-1616777389691.png         c23-1616777046932.png         17560.0             2              Current Image Retained
c23-1616777732576.png         c23-1616777389691.png         11261.5             3              Current Image Retained
c23-1616778075302.png         c23-1616777732576.png         1500.0              2              Current Image Retained
c23-1616778417899.png         c23-1616778075302.png         0.0                 0              Current Image removed
c23-1616778760501.png         c23-1616778075302.png         0.0                 0              Current Image removed
c23-1616779102902.png         c23-1616778075302.png         0.0                 0              Current Image removed
c23-1616779445544.png         c23-1616778075302.png         633.5               1              Current Image Retained
c23-1616779788339.png         c23-1616779445544.png         0.0                 0              Current Image removed
c23-1616780130983.png         c23-1616779445544.png         0.0                 0              Current Image removed
c23-1616780473745.png         c23-1616779445544.png         85519.5             6              Current Image Retained
c23-1616780816465.png         c23-1616780473745.png         69348.5             1              Current Image Retained
c23-1616781159184.png         c23-1616780816465.png         78943.5             5              Current Image Retained
c23-1616781502225.png         c23-1616781159184.png         535.5               1              Current Image Retained
c23-1616781844990.png         c23-1616781502225.png         0.0                 0              Current Image removed
c23-1616782187710.png         c23-1616781502225.png         640.0               1              Current Image Retained
c23-1616782530072.png         c23-1616782187710.png         0.0                 0              Current Image removed
c23-1616782872679.png         c23-1616782187710.png         0.0                 0              Current Image removed
c23-1616783214920.png         c23-1616782187710.png         0.0                 0              Current Image removed
c23-1616783557196.png         c23-1616782187710.png         0.0                 0              Current Image removed
c23-1616783899443.png         c23-1616782187710.png         0.0                 0              Current Image removed
c23-1616784241640.png         c23-1616782187710.png         0.0                 0              Current Image removed
c23-1616784583888.png         c23-1616782187710.png         0.0                 0              Current Image removed
c23-1616784926328.png         c23-1616782187710.png         0.0                 0              Current Image removed
c23-1616785268646.png         c23-1616782187710.png         0.0                 0              Current Image removed
c23-1616785611207.png         c23-1616782187710.png         0.0                 0              Current Image removed
c23-1616785953569.png         c23-1616782187710.png         0.0                 0              Current Image removed
c23-1616786295929.png         c23-1616782187710.png         0.0                 0              Current Image removed
c23-1616786638297.png         c23-1616782187710.png         0.0                 0              Current Image removed
c23-1616786980657.png         c23-1616782187710.png         0.0                 0              Current Image removed
c23-1616787323135.png         c23-1616782187710.png         0.0                 0              Current Image removed
c23-1616787665582.png         c23-1616782187710.png         0.0                 0              Current Image removed
